First Name,Height,Last Name,Position,Team
Alex,6,Poythress,Forward,pacers
Taurean,6,Prince,Forward,hawks
Rodney,6,Purvis,Guard,magic
Zhou,7,Qi,Forward-Center,rockets
Ivan,6,Rabb,Forward,grizzlies
Julius,6,Randle,Forward-Center,lakers
Zach,6,Randolph,Forward,kings
JJ,6,Redick,Guard-Forward,sixers
Davon,6,Reed,Guard,suns
Josh,6,Richardson,Forward,heat
Malachi,6,Richardson,Guard,raptors
Austin,6,Rivers,Guard,clippers
Andre,6,Roberson,Guard,thunder
Glenn,6,Robinson,Guard-Forward,pacers
Devin,6,Robinson,Forward,wizards
Rajon,6,Rondo,Guard,pelicans
Derrick,6,Rose,Guard,timberwolves
Terrence,6,Ross,Guard-Forward,magic
Terry,6,Rozier,Guard,celtics
Ricky,6,Rubio,Guard,jazz
'D''Angelo',6,Russell,Guard,nets
Domantas,6,Sabonis,Center-Forward,pacers
JaKarr,6,Sampson,Forward,kings
Dario,6,Saric,Forward,sixers
Tomas,6,Satoransky,Guard-Forward,wizards
Dennis,6,Schroder,Guard,hawks
Mike,6,Scott,Forward,wizards
Thabo,6,Sefolosha,Forward,jazz
Wayne,6,Selden,Guard-Forward,grizzlies
Ramon,6,Sessions,Guard,wizards
Iman,6,Shumpert,Guard,kings
Pascal,6,Siakam,Forward,raptors
Xavier,6,Silas,Guard,celtics
Ben,6,Simmons,Guard-Forward,sixers
Jonathon,6,Simmons,Forward,magic
Kobi,6,Simmons,Guard,grizzlies
Kyle,6,Singler,Forward,thunder
Marcus,6,Smart,Guard,celtics
Dennis,6,Smith,Guard,mavericks
Ish,6,Smith,Guard,pistons
Jason,7,Smith,Forward-Center,wizards
JR,6,Smith,Guard-Forward,cavaliers
Tony,6,Snell,Guard,bucks
Marreese,6,Speights,Forward-Center,magic
Nik,6,Stauskas,Guard,nets
Lance,6,Stephenson,Guard,pacers
David,5,Stockton,Guard,jazz
Julyan,6,Stone,Guard,hornets
Edmond,6,Sumner,Guard,pacers
Caleb,6,Swanigan,Forward-Center,blazers
Jayson,6,Tatum,Forward,celtics
Isaiah,6,Taylor,Guard,hawks
Jeff,6,Teague,Guard,timberwolves
Marquis,6,Teague,Guard,grizzlies
Garrett,6,Temple,Forward-Guard,kings
Milos,6,Teodosic,Guard,clippers
Jason,6,Terry,Guard,bucks
Daniel,6,Theis,Forward-Center,celtics
Isaiah,5,Thomas,Guard,lakers
Lance,6,Thomas,Forward,knicks
Klay,6,Thompson,Guard,warriors
Tristan,6,Thompson,Center-Forward,cavaliers
Sindarius,6,Thornwell,Guard,clippers
Anthony,6,Tolliver,Forward,pistons
Karl-Anthony,7,Towns,Center,timberwolves
PJ,6,Tucker,Forward,rockets
Evan,6,Turner,Forward-Guard,blazers
Myles,6,Turner,Center,pacers
Ekpe,6,Udoh,Center-Forward,jazz
Tyler,5,Ulis,Guard,suns
