First Name,Last Name,Position,Team
Stanley,Johnson,Forward,pistons
Tyler,Johnson,Guard,heat
Wesley,Johnson,Forward,clippers
Nikola,Jokic,Center,nuggets
Derrick,Jones,Forward-Guard,heat
Damian,Jones,Center,warriors
Jalen,Jones,Forward,mavericks
Tyus,Jones,Guard,timberwolves
DeAndre,Jordan,Center,clippers
Cory,Joseph,Guard,pacers
Frank,Kaminsky,Forward-Center,hornets
Enes,Kanter,Center,knicks
Luke,Kennard,Guard,pistons
Michael,Kidd-Gilchrist,Forward,hornets
Sean,Kilpatrick,Guard,bulls
Maxi,Kleber,Forward,mavericks
Brandon,Knight,Guard,suns
Furkan,Korkmaz,Guard-Forward,sixers
Luke,Kornet,Forward-Center,knicks
Kyle,Korver,Guard,cavaliers
Kosta,Koufos,Center,kings
Kyle,Kuzma,Forward,lakers
Skal,Labissiere,Forward-Center,kings
Jeremy,Lamb,Guard,hornets
Shane,Larkin,Guard,celtics
Joffrey,Lauvergne,Center,spurs
Zach,LaVine,Guard,bulls
Ty,Lawson,Guard,wizards
Jake,Layman,Forward,blazers
TJ,Leaf,Forward,pacers
Courtney,Lee,Guard,knicks
Damion,Lee,Guard,hawks
Alex,Len,Center,suns
Kawhi,Leonard,Forward,spurs
Meyers,Leonard,Center,blazers
Jon,Leuer,Forward-Center,pistons
Caris,LeVert,Guard-Forward,nets
DeAndre,Liggins,Guard,pelicans
Damian,Lillard,Guard,blazers
Jeremy,Lin,Guard,nets
Shaun,Livingston,Guard,warriors
Kevon,Looney,Forward,warriors
Brook,Lopez,Center,lakers
Robin,Lopez,Center,bulls
Kevin,Love,Center-Forward,cavaliers
Kyle,Lowry,Guard,raptors
Timothe,Luwawu-Cabarrot,Guard-Forward,sixers
Tyler,Lydon,Forward,nuggets
Trey,Lyles,Forward,nuggets
Shelvin,Mack,Guard,magic
Josh,Magette,Guard,hawks
Ian,Mahinmi,Center,wizards
Thon,Maker,Center-Forward,bucks
Boban,Marjanovic,Center,clippers
Lauri,Markkanen,Forward,bulls
Jarell,Martin,Forward,grizzlies
Frank,Mason,Guard,kings
Mangok,Mathiang,Forward-Center,hornets
Wesley,Matthews,Guard-Forward,mavericks
Luc,Mbah,Forward,rockets
Patrick,McCaw,Guard,warriors
CJ,McCollum,Guard,blazers
T.J.,McConnell,Guard,sixers
Erik,McCree,Forward,jazz
Chris,McCullough,Forward,wizards
Doug,McDermott,Forward,mavericks
JaVale,McGee,Center,warriors
Rodney,McGruder,Guard-Forward,heat
Alfonzo,McKinnie,Forward,raptors
Ben,McLemore,Guard,grizzlies
Jodie,Meeks,Guard,wizards
Salah,Mejri,Center,mavericks
Jordan,Mickey,Center-Forward,heat
Khris,Middleton,Forward,bucks
CJ,Miles,Forward-Guard,raptors
Darius,Miller,Forward,pelicans
Malcolm,Miller,Forward,raptors
Paul,Millsap,Forward,nuggets
Patty,Mills,Guard,spurs
Nikola,Mirotic,Forward,pelicans
Donovan,Mitchell,Guard,jazz
Malik,Monk,Guard,hornets
Greg,Monroe,Center-Forward,celtics
Ben,Moore,Forward,pacers
'E''Twaun',Moore,Forward-Guard,pelicans
Eric,Moreland,Forward-Center,pistons
Jaylen,Morris,Guard,hawks
Marcus,Morris,Forward,celtics
Markieff,Morris,Forward,wizards
Monte,Morris,Guard,nuggets
Johnathan,Motley,Forward,mavericks
Timofey,Mozgov,Center,nets
Emmanuel,Mudiay,Guard,knicks
Shabazz,Muhammad,Guard-Forward,bucks
Xavier,Munford,Guard,bucks
Dejounte,Murray,Guard,spurs
Jamal,Murray,Guard,nuggets
Mike,Muscala,Forward-Center,hawks
Abdel,Nader,Forward,celtics
Larry,Nance,Forward,cavaliers
Shabazz,Napier,Guard,blazers
Jameer,Nelson,Guard,pistons
Nene,Nene,Center-Forward,rockets
Raul,Neto,Guard,jazz
Georges,Niang,Forward,jazz
Joakim,Noah,Center,knicks
Nerlens,Noel,Center,mavericks
Lucas,Nogueira,Center,raptors
Dirk,Nowitzki,Center-Forward,mavericks
Frank,Ntilikina,Guard,knicks
Jusuf,Nurkic,Center,blazers
David,Nwaba,Forward,bulls
Royce,'O''Neale',Forward,jazz
Kyle,'O''Quinn',Center-Forward,knicks
Semi,Ojeleye,Forward,celtics
Emeka,Okafor,Center,pelicans
Jahlil,Okafor,Center,nets
Victor,Oladipo,Guard,pacers
Kelly,Olynyk,Forward-Center,heat
Chinanu,Onuaku,Center,rockets
Cedi,Osman,Forward,cavaliers
Kelly,Oubre,Forward,wizards
Zaza,Pachulia,Center,warriors
Marcus,Paige,Guard,hornets
Georgios,Papagiannis,Center,blazers
Jabari,Parker,Forward,bucks
Tony,Parker,Guard,spurs
Chandler,Parsons,Forward,grizzlies
Patrick,Patterson,Forward,thunder
Justin,Patton,Center,timberwolves
Brandon,Paul,Guard,spurs
Chris,Paul,Guard,rockets
Cameron,Payne,Guard,bulls
Gary,Payton,Guard,lakers
Elfrid,Payton,Guard,suns
Kendrick,Perkins,Center,cavaliers
Alec,Peters,Forward,suns
Marshall,Plumlee,Center,bucks
Mason,Plumlee,Center-Forward,nuggets
Miles,Plumlee,Center,hawks
Jakob,Poeltl,Center,raptors
Otto,Porter,Forward,wizards
Bobby,Portis,Forward,bulls
Kristaps,Porzingis,Forward-Center,knicks
Dwight,Powell,Center-Forward,mavericks
Norman,Powell,Forward-Guard,raptors
Alex,Poythress,Forward,pacers
Taurean,Prince,Forward,hawks
Rodney,Purvis,Guard,magic
Zhou,Qi,Forward-Center,rockets
Ivan,Rabb,Forward,grizzlies
Julius,Randle,Forward-Center,lakers
Zach,Randolph,Forward,kings
JJ,Redick,Guard-Forward,sixers
Davon,Reed,Guard,suns
Josh,Richardson,Forward,heat
Malachi,Richardson,Guard,raptors
Austin,Rivers,Guard,clippers
Andre,Roberson,Guard,thunder
Glenn,Robinson,Guard-Forward,pacers
Devin,Robinson,Forward,wizards
Rajon,Rondo,Guard,pelicans
Derrick,Rose,Guard,timberwolves
Terrence,Ross,Guard-Forward,magic
Terry,Rozier,Guard,celtics
Ricky,Rubio,Guard,jazz
'D''Angelo',Russell,Guard,nets
Domantas,Sabonis,Center-Forward,pacers
JaKarr,Sampson,Forward,kings
Dario,Saric,Forward,sixers
Tomas,Satoransky,Guard-Forward,wizards
Dennis,Schroder,Guard,hawks
Mike,Scott,Forward,wizards
Thabo,Sefolosha,Forward,jazz
Wayne,Selden,Guard-Forward,grizzlies
Ramon,Sessions,Guard,wizards
Iman,Shumpert,Guard,kings
Pascal,Siakam,Forward,raptors
Xavier,Silas,Guard,celtics
Ben,Simmons,Guard-Forward,sixers
Jonathon,Simmons,Forward,magic
Kobi,Simmons,Guard,grizzlies
Kyle,Singler,Forward,thunder
Marcus,Smart,Guard,celtics
Dennis,Smith,Guard,mavericks
Ish,Smith,Guard,pistons
Jason,Smith,Forward-Center,wizards
JR,Smith,Guard-Forward,cavaliers
Tony,Snell,Guard,bucks
Marreese,Speights,Forward-Center,magic
Nik,Stauskas,Guard,nets
Lance,Stephenson,Guard,pacers
David,Stockton,Guard,jazz
Julyan,Stone,Guard,hornets
Edmond,Sumner,Guard,pacers
Caleb,Swanigan,Forward-Center,blazers
Jayson,Tatum,Forward,celtics
Isaiah,Taylor,Guard,hawks
Jeff,Teague,Guard,timberwolves
Marquis,Teague,Guard,grizzlies
Garrett,Temple,Forward-Guard,kings
Milos,Teodosic,Guard,clippers
Jason,Terry,Guard,bucks
Daniel,Theis,Forward-Center,celtics
Isaiah,Thomas,Guard,lakers
Lance,Thomas,Forward,knicks
Klay,Thompson,Guard,warriors
Tristan,Thompson,Center-Forward,cavaliers
Sindarius,Thornwell,Guard,clippers
Anthony,Tolliver,Forward,pistons
Karl-Anthony,Towns,Center,timberwolves
PJ,Tucker,Forward,rockets
Evan,Turner,Forward-Guard,blazers
Myles,Turner,Center,pacers
Ekpe,Udoh,Center-Forward,jazz
Tyler,Ulis,Guard,suns
Jonas,Valanciunas,Center,raptors
Denzel,Valentine,Forward,bulls
Fred,VanVleet,Guard,raptors
Noah,Vonleh,Forward,bulls
Nikola,Vucevic,Center,magic
Dwyane,Wade,Guard,heat
Dion,Waiters,Guard,heat
Kemba,Walker,Guard,hornets
Tyrone,Wallace,Guard,clippers
John,Wall,Guard,wizards
Derrick,Walton,Guard,heat
TJ,Warren,Forward,suns
Travis,Wear,Forward,lakers
James,Webb,Forward,nets
Briante,Weber,Guard,grizzlies
Russell,Westbrook,Guard,thunder
David,West,Forward,warriors
Andrew,White,Forward,hawks
Derrick,White,Guard,spurs
Isaiah,Whitehead,Guard,nets
Okaro,White,Forward,cavaliers
Hassan,Whiteside,Center,heat
Andrew,Wiggins,Forward,timberwolves
CJ,Wilcox,Guard,blazers
Alan,Williams,Forward-Center,suns
C.J.,Williams,Forward-Guard,clippers
Lou,Williams,Guard,clippers
Marvin,Williams,Forward,hornets
Troy,Williams,Forward,knicks
D.J.,Wilson,Forward,bucks
Justise,Winslow,Forward,heat
Delon,Wright,Guard,raptors
Guerschon,Yabusele,Forward,celtics
Joe,Young,Guard,pacers
Nick,Young,Guard-Forward,warriors
Thaddeus,Young,Forward,pacers
Cody,Zeller,Center-Forward,hornets
Tyler,Zeller,Center,bucks
Paul,Zipser,Forward,bulls
Ante,Zizic,Forward-Center,cavaliers
