Player,Years,Pos,Ht,Wt
"Marcus Paige",2,G,6-1,175
"Georgios Papagiannis",3,C,7-1,240
"Jabari Parker",5,F,6-8,250
"Tony Parker",18,G,6-2,185
"Chandler Parsons",8,F,6-10,230
"Patrick Patterson",9,F,6-9,230
"Justin Patton",2,C,6-11,229
"Brandon Paul",2,G,6-4,200
"Chris Paul",14,G,6-0,175
"Adreian Payne",5,F-C,6-10,237
"Cameron Payne",4,G,6-3,185
"Elfrid Payton",5,G,6-4,185
"Gary Payton",3,G,6-3,190
"Kendrick Perkins",16,C,6-10,270
"London Perrantes",2,G,6-2,200
"Alec Peters",2,F,6-9,232
"Marshall Plumlee",3,C,7-0,250
"Mason Plumlee",6,C-F,6-11,245
"Miles Plumlee",7,C-F,6-11,249
"Jakob Poeltl",3,C,7-0,248
"Quincy Pondexter",9,G-F,6-7,220
"Otto Porter",6,F,6-8,198
"Bobby Portis",4,F,6-11,230
"Kristaps Porzingis",4,F-C,7-3,240
"Dwight Powell",5,F-C,6-11,240
"Norman Powell",4,G,6-4,215
"Alex Poythress",3,F,6-7,238
"Jacob Pullen",2,G,6-1,200
"Rodney Purvis",2,G,6-4,205
"Zhou Qi",2,F-C,7-1,210
"Tim Quarterman",3,G,6-6,195
"Ivan Rabb",2,F,6-10,220
"Julius Randle",5,F-C,6-9,250
"Zach Randolph",18,F-C,6-9,260
"Xavier Rathan-Mayes",2,G,6-4,208
"J.J. Redick",13,G,6-4,190
"Davon Reed",2,G,6-5,208
"Willie Reed",4,F-C,6-10,220
"Josh Richardson",4,G,6-6,200
"Malachi Richardson",3,G,6-6,205
"Austin Rivers",7,G,6-4,200
"Andre Roberson",6,G-F,6-7,210
"Devin Robinson",2,F,6-8,190
"Glenn Robinson",5,G-F,6-6,222
"Rajon Rondo",13,G,6-1,186
"Derrick Rose",11,G,6-3,190
"Terrence Ross",7,F-G,6-7,206
"Terry Rozier",4,G,6-2,190
"Ricky Rubio",8,G,6-4,194
"D'Angelo Russell",4,G,6-5,195
"Domantas Sabonis",3,F-C,6-11,240
"JaKarr Sampson",5,G-F,6-9,214
"Dario Saric",3,F,6-10,223
"Tomas Satoransky",3,G,6-7,210
"Dennis Schroder",6,G,6-1,172
"Mike Scott",7,F,6-8,237
"Thabo Sefolosha",13,G-F,6-7,220
"Wayne Selden",3,G-F,6-5,230
"Ramon Sessions",12,G,6-3,190
"Iman Shumpert",8,G,6-5,220
"Pascal Siakam",3,F,6-9,230
"Xavier Silas",8,G,6-5,205
"Ben Simmons",2,G-F,6-10,230
"Jonathon Simmons",4,G-F,6-6,195
"Kobi Simmons",2,G,6-5,166
"Kyle Singler",7,F,6-8,228
"Marcus Smart",5,G,6-4,220
"Dennis Smith",2,G,6-3,195
"Ish Smith",9,G,6-0,175
"J.R. Smith",15,G-F,6-6,225
"Jason Smith",12,F-C,7-0,245
"Josh Smith",15,F,6-9,225
"Tony Snell",6,G-F,6-7,200
"Marreese Speights",11,C-F,6-10,255
"Nik Stauskas",5,G,6-6,205
"Lance Stephenson",9,G-F,6-5,230
"David Stockton",5,G,5-11,165
"Julyan Stone",8,G,6-6,200
"Edmond Sumner",2,G,6-6,176
"Caleb Swanigan",2,F,6-8,250
"Jayson Tatum",2,F,6-8,205
"Isaiah Taylor",3,G,6-3,170
"Jeff Teague",10,G,6-2,186
"Marquis Teague",7,G,6-2,189
"Mirza Teletovic",7,F,6-9,242
"Garrett Temple",10,G,6-6,195
"Milos Teodosic",2,G,6-5,196
"Jason Terry",20,G,6-2,185
"Daniel Theis",2,C,6-9,215
"Isaiah Thomas",8,G,5-9,185
"Lance Thomas",8,F,6-8,235
"Klay Thompson",8,G-F,6-7,215
"Tristan Thompson",8,F-C,6-9,238
"Sindarius Thornwell",2,G,6-5,212
"Anthony Tolliver",11,F-C,6-8,240
"Karl-Anthony Towns",4,C-F,7-0,244
"P.J. Tucker",13,F,6-6,245
"Evan Turner",9,G,6-7,220
"Myles Turner",4,C-F,6-11,243
"Ekpe Udoh",9,C-F,6-10,240
"Tyler Ulis",3,G,5-10,150
"Jonas Valanciunas",7,C,7-0,265
"Denzel Valentine",3,G,6-6,212
"Fred VanVleet",3,G,6-0,195
"Rashad Vaughn",4,G,6-6,202
"Noah Vonleh",5,F,6-10,240
"Nikola Vucevic",8,C,7-0,260
"Dwyane Wade",16,G,6-4,220
"Dion Waiters",7,G,6-4,225
"Kemba Walker",8,G,6-1,172
"John Wall",9,G,6-4,195
"Tyrone Wallace",2,G,6-5,205
"Taurean Waller-Prince",3,F,6-8,220
"Derrick Walton",2,G,6-1,189
"Jameel Warney",2,F,6-8,260
"T.J. Warren",5,F,6-8,230
"Travis Wear",5,F,6-10,230
"James Webb",2,F,6-9,202
"Briante Weber",4,G,6-2,165
"David West",16,F-C,6-9,250
"Russell Westbrook",11,G,6-3,200
"Andrew White",2,G,6-7,210
"Derrick White",2,G,6-5,190
"Okaro White",3,F,6-8,204
"Isaiah Whitehead",3,G,6-4,213
"Hassan Whiteside",9,C,7-0,265
"Andrew Wiggins",5,F-G,6-8,199
"Jacob Wiley",2,F,6-7,215
"Damien Wilkins",15,F-G,6-6,225
"Alan Williams",4,F-C,6-8,260
"C.J. Williams",2,G,6-5,225
"Derrick Williams",8,F,6-8,240
"Lou Williams",14,G,6-1,175
"Marvin Williams",14,F,6-9,237
"Matt Williams",2,G,6-5,210
"Troy Williams",3,F,6-7,218
"D.J. Wilson",2,F,6-10,234
"Jamil Wilson",2,F,6-7,230
"Justise Winslow",4,F,6-7,225
"Jeff Withey",6,C,7-0,231
"Nate Wolters",6,G,6-4,190
"Brandan Wright",12,F-C,6-10,210
"Delon Wright",4,G,6-5,183
"Guerschon Yabusele",2,F,6-7,260
"James Young",5,G-F,6-6,215
"Joe Young",4,G,6-2,180
"Nick Young",12,G-F,6-7,210
"Thaddeus Young",12,F,6-8,221
"Cody Zeller",6,C-F,7-0,240
"Tyler Zeller",7,F-C,7-0,253
"Paul Zipser",3,G-F,6-8,215
"Ante Zizic",2,F-C,6-11,250
"Ivica Zubac",3,C,7-1,265
"Alex Abrines",3,G-F,6-Jun,190
"Steven Adams",6,C,Jul-00,255
"Bam Adebayo",2,C-F,10-Jun,243
"Bam Adebayo",2,C-F,10-Jun,243
"LaMarcus Aldridge",13,F-C,11-Jun,260
"Jarrett Allen",2,F-C,10-Jun,234
"Kyle Anderson",5,F-G,9-Jun,230
"Ryan Anderson",11,F,10-Jun,240
"Giannis Antetokounmpo",6,F-G,11-Jun,222
"Carmelo Anthony",16,F,8-Jun,240
"OG Anunoby",2,F,8-Jun,232
"Ryan Arcidiacono",2,G,3-Jun,188
"Trevor Ariza",15,F,8-Jun,215
"Ron Baker",3,G,4-Jun,220
"Lonzo Ball",2,G,6-Jun,190
"Will Barton",7,G,6-Jun,175
"Nicolas Batum",11,F-G,8-Jun,200
"Aron Baynes",7,C,10-Jun,260
"Kent Bazemore",7,G-F,5-Jun,201
"Bradley Beal",7,G,5-Jun,207
"Malik Beasley",3,G,5-Jun,196
"Michael Beasley",11,F,9-Jun,235
"Marco Belinelli",12,G-F,5-Jun,210
"Jordan Bell",2,F,9-Jun,224
"Davis Bertans",3,F,10-Jun,210
"Patrick Beverley",7,G,1-Jun,185
"Nemanja Bjelica",4,F,10-Jun,240
"Antonio Blakeney",2,G,4-Jun,197
"Eric Bledsoe",9,G,1-Jun,205
"Bojan Bogdanovic",5,G-F,8-Jun,216
"Devin Booker",4,G,6-Jun,206
"Avery Bradley",9,G,2-Jun,180
"Malcolm Brogdon",3,G,5-Jun,215
"Dillon Brooks",2,F-G,6-Jun,220
"MarShon Brooks",8,G-F,5-Jun,200
"Jaylen Brown",3,F-G,7-Jun,225
"Lorenzo Brown",6,G,5-Jun,189
"Sterling Brown",2,G,5-Jun,225
"Trey Burke",6,G,1-Jun,191
"Alec Burks",8,G,6-Jun,214
"Jimmy Butler",8,F-G,8-Jun,236
"Isaiah Canaan",6,G,Jun-00,201
"Clint Capela",5,C,10-Jun,240
"Vince Carter",21,G-F,6-Jun,220
"Tyson Chandler",18,C,1-Jul,240
"Jordan Clarkson",5,G,5-Jun,194
"Zach Collins",2,C-F,Jul-00,232
"Darren Collison",10,G,Jun-00,175
"Mike Conley",12,G,1-Jun,175
"Quinn Cook",3,G,2-Jun,184
"Robert Covington",6,F,9-Jun,215
"Robert Covington",6,F,9-Jun,215
