Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year
Marc Gasol,7,66.7,3,0,0,6,2,18.2,11,1,87.5,8,2,5,13,30:11:00,-8,3,0,3,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,29.5,2019
Garrett Temple,0,50,8,1,4,0,4,30.8,13,0,0,0,4,0,12,24:30:00,-6,2,1,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,25,2019
Mike Conley,3,40,5,1,1,2,2,27.3,11,1,100,3,3,1,11,28:58:00,-11,3,0,1,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,20.5,2019
Kyle Anderson,1,0,0,2,2,2,0,33.3,6,0,50,2,2,2,5,19:15,-11,1,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,5.5,2019
Jaren Jackson,6,0,1,0,2,5,0,33.3,6,2,100,6,2,3,10,25:18:00,-21,1,1,3,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,22.5,2019
Shelvin Mack,1,0,1,1,3,3,0,12.5,8,1,50,2,1,2,3,29:55:00,-20,3,0,1,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,11.5,2019
Dillon Brooks,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6:17,-9,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,-1,2019
MarShon Brooks,5,0,3,0,0,2,0,22.2,9,0,71.4,7,2,2,9,22:04,-7,1,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,7.5,2019
Wayne Selden,0,100,1,0,0,0,1,66.7,3,0,0,0,2,0,5,6:00,1,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,7,2019
Omri Casspi,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,NA,2019
Ivan Rabb,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,NA,2019
Bojan Bogdanovic,2,100,3,3,0,6,3,77.8,9,0,100,2,7,6,19,27:06:00,8,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,26,2019
Thaddeus Young,0,0,1,3,2,8,0,71.4,7,3,0,1,5,5,10,27:43:00,23,3,1,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,22.5,2019
Myles Turner,0,0,0,1,3,8,0,50,8,3,0,0,4,5,8,20:22,7,1,4,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,28.5,2019
Victor Oladipo,1,50,6,3,3,5,3,54.5,11,0,50,2,6,5,16,25:47:00,9,5,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,30.5,2019
Darren Collison,0,0,1,3,4,1,0,0,5,0,0,0,0,1,0,21:29,-1,5,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,5.5,2019
Domantas Sabonis,0,0,0,3,3,15,0,63.6,11,6,0,2,7,9,14,28:33:00,26,2,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,29,2019
Tyreke Evans,1,20,5,1,1,4,1,50,12,0,50,2,6,4,14,23:34,23,6,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,27,2019
Cory Joseph,0,50,2,2,3,6,1,71.4,7,0,0,0,5,6,11,28:17:00,28,3,2,1,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,30.5,2019
TJ Leaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:58,0,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,0,2019
Doug McDermott,1,20,5,0,2,1,1,55.6,9,0,50,2,5,1,12,24:24:00,20,1,0,1,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,18.5,2019
Edmond Sumner,0,0,1,0,0,0,0,50,2,0,0,0,1,0,2,3:51,-1,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,2,2019
Aaron Holiday,0,50,2,1,1,0,1,50,2,0,0,0,1,0,3,3:58,-1,0,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,4,2019
Kyle OQuinn,2,0,0,0,2,3,0,0,0,1,100,2,0,2,2,3:58,-1,3,0,0,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,7.5,2019
Rodney McGruder,2,40,5,1,3,3,2,22.2,9,0,66.7,3,2,3,8,31:30:00,4,3,1,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,19.5,2019
Derrick Jones,0,50,2,2,6,2,1,40,5,1,0,0,2,1,5,17:13,4,2,0,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,10,2019
Hassan Whiteside,0,0,1,1,2,18,0,40,15,4,0,1,6,14,12,33:35:00,4,0,2,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,38,2019
Josh Richardson,3,20,10,3,3,5,2,38.1,21,1,100,3,8,4,21,37:35:00,-5,3,1,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,34.5,2019
Goran Dragic,5,42.9,7,3,5,4,3,64.3,14,0,71.4,7,9,4,26,32:55:00,20,4,1,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,37,2019
Dwyane Wade,3,0,1,4,2,11,0,23.1,13,5,75,4,3,6,9,26:02:00,-7,2,0,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,16,2019
Tyler Johnson,0,33.3,3,0,1,0,1,42.9,7,0,0,0,3,0,7,23:46,-13,0,0,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,12,2019
Bam Adebayo,1,0,1,1,3,8,0,44.4,9,2,50,2,4,6,9,21:59,-6,2,0,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,21,2019
Kelly Olynyk,2,0,3,1,3,1,0,25,4,1,100,2,1,0,4,15:25,-16,0,0,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,2,2019
Wayne Ellington,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Udonis Haslem,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Yante Maten,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Duncan Robinson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Jonathan Isaac,1,100,1,1,4,6,1,50,4,2,50,2,2,4,6,18:09,-7,1,0,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,13.5,2019
Aaron Gordon,4,80,5,4,3,16,4,50,18,4,66.7,6,9,12,26,38:18:00,9,2,0,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,45,2019
Nikola Vucevic,4,0,0,4,2,8,0,33.3,12,2,80,5,4,6,12,28:06:00,-17,4,0,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,21,2019
Evan Fournier,3,0,5,1,4,2,0,33.3,15,0,50,6,5,2,13,23:32,-14,5,0,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,21.5,2019
DJ Augustin,2,50,2,0,1,1,1,40,10,0,100,2,4,1,11,22:16,-8,2,0,1,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,18,2019
Mohamed Bamba,0,50,2,0,1,7,1,75,8,4,0,2,6,3,13,24:59:00,13,0,2,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,28,2019
Terrence Ross,0,0,4,1,4,4,0,22.2,9,0,0,0,2,4,4,25:32:00,16,4,4,2,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,31,2019
Jonathon Simmons,4,0,4,0,4,5,0,36.4,11,2,66.7,6,4,3,12,33:27:00,12,1,1,0,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,17.5,2019
Jerian Grant,1,0,2,1,2,2,0,42.9,7,0,50,2,3,2,7,25:42:00,11,1,0,2,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,14.5,2019
Khem Birch,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Isaiah Briscoe,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Wes Iwundu,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Jarell Martin,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,6,31,20,27,23,25,29,25,25,104,101,"Washington""""","Boland""""",Acosta,ORLANDO,MIA,ORL,NA,2019
Vince Carter,2,33.3,6,2,5,2,2,44.4,9,0,100,2,4,2,12,23:58,7,0,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,14,2019
Taurean Prince,4,42.9,7,6,4,6,3,46.7,15,0,100,4,7,6,21,32:19:00,-23,6,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,32,2019
Alex Len,1,0,2,3,4,4,0,50,6,2,50,2,3,2,7,21:27,-14,2,1,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,13,2019
Kent Bazemore,0,33.3,6,2,3,6,2,50,12,2,0,0,6,4,14,30:16:00,0,0,1,2,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,31,2019
Trae Young,3,20,5,4,4,6,1,35.7,14,0,75,4,5,6,14,33:08:00,-20,5,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,22.5,2019
Alex Poythress,0,33.3,3,3,4,2,1,50,8,1,0,1,4,1,9,20:43,-21,0,0,1,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,13,2019
Jeremy Lin,2,0,2,2,0,5,0,50,6,0,100,2,3,5,8,13:42,-5,1,0,1,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,13.5,2019
DeAndre Bembry,0,0,0,2,1,4,0,25,4,0,0,0,1,4,2,23:19,-12,4,0,2,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,16,2019
Miles Plumlee,3,0,0,0,2,0,0,100,2,0,100,3,2,0,7,9:22,-5,0,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,4,2019
Tyler Dorsey,0,0,2,0,2,3,0,37.5,8,0,0,0,3,3,6,14:36,-12,0,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,9,2019
Omari Spellman,0,50,2,0,1,3,1,75,4,1,0,0,3,2,7,8:19,2,0,1,1,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,18,2019
Kevin Huerter,0,0,0,0,0,3,0,0,1,1,0,0,0,2,0,4:35,4,0,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,3,2019
Jaylen Adams,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4:17,4,1,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,2.5,2019
Frank Ntilikina,0,50,2,1,1,5,1,28.6,7,0,0,0,2,5,5,33:38:00,-2,1,1,3,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,24.5,2019
Lance Thomas,0,100,1,1,4,0,1,50,2,0,0,0,1,0,3,15:30,13,0,1,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,7,2019
Enes Kanter,6,0,0,1,2,11,0,55.6,9,3,85.7,7,5,8,16,27:12:00,7,3,1,1,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,30.5,2019
Trey Burke,1,66.7,3,2,2,3,2,54.5,11,1,50,2,6,2,15,20:34,14,4,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,25,2019
Tim Hardaway,8,33.3,9,0,2,6,3,45.5,22,1,100,8,10,5,31,28:51:00,14,5,0,2,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,48.5,2019
Kevin Knox,1,20,5,2,2,0,1,25,16,0,33.3,3,4,0,10,23:38,1,0,1,2,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,18,2019
Ron Baker,2,0,3,2,4,4,0,0,3,0,100,2,0,4,2,27:26:00,5,4,0,1,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,11,2019
Mitchell Robinson,0,0,0,0,0,0,0,100,1,0,0,0,1,0,2,1:18,-2,0,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,2,2019
Allonzo Trier,4,33.3,3,3,0,4,1,55.6,9,0,100,4,5,4,15,26:17:00,9,0,2,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,20,2019
Noah Vonleh,2,0,0,0,1,10,0,100,5,5,50,4,5,5,12,16:22,22,3,0,0,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,24.5,2019
Mario Hezonja,0,42.9,7,3,5,3,3,42.9,14,0,0,1,6,3,15,19:14,14,1,0,3,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,31.5,2019
Damyean Dotson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,NA,2019
Courtney Lee,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,7,24,25,35,23,23,49,34,20,126,107,"Garretson""""","Goble""""",Kogut,NEW,ATL,NYK,NA,2019
Cedi Osman,5,100,2,3,1,10,2,50,10,3,83.3,6,5,7,17,33:05:00,-21,4,0,2,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,35,2019
Kevin Love,10,25,4,3,5,7,1,27.8,18,2,71.4,14,5,5,21,34:05:00,-3,2,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,20,2019
Tristan Thompson,1,0,0,4,2,13,0,20,5,5,50,2,1,8,3,27:05:00,-20,1,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,12.5,2019
Rodney Hood,2,0,2,0,3,2,0,38.5,13,1,100,2,5,1,12,26:18:00,-12,1,0,1,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,16.5,2019
George Hill,3,66.7,3,1,3,2,2,45.5,11,1,75,4,5,1,15,31:26:00,-10,7,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,27.5,2019
Ante Zizic,1,0,0,0,2,3,0,100,2,0,50,2,2,3,5,14:24,11,2,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,10,2019
Kyle Korver,0,50,2,0,1,0,1,50,2,0,0,0,1,0,3,14:01,13,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,5,2019
Collin Sexton,5,0,1,4,4,3,0,28.6,7,1,100,5,2,2,9,17:43,0,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,3,2019
Sam Dekker,2,0,1,1,1,6,0,50,2,1,50,4,1,5,4,16:16,-10,0,0,1,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,10,2019
Jordan Clarkson,0,25,4,0,3,3,1,46.7,15,0,0,0,7,3,15,23:09,-8,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,20,2019
David Nwaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:43,-1,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,0,2019
John Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:44,1,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,0,2019
Channing Frye,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,NA,2019
Kawhi Leonard,5,33.3,3,2,3,12,1,40.9,22,1,83.3,6,9,11,24,37:15:00,13,2,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,34,2019
Pascal Siakam,0,100,1,0,2,2,1,75,8,0,0,0,6,2,13,19:57,11,2,1,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,23,2019
Jonas Valanciunas,0,0,2,0,2,12,0,37.5,8,2,0,0,3,10,6,20:24,13,3,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,22.5,2019
Danny Green,0,42.9,7,0,3,5,3,44.4,9,1,0,0,4,4,11,32:46:00,15,0,2,2,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,34,2019
Kyle Lowry,2,83.3,6,3,1,1,5,83.3,12,0,66.7,3,10,1,27,35:35:00,12,8,1,1,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,51,2019
OG Anunoby,0,0,1,1,1,0,0,66.7,3,0,0,0,2,0,4,17:31,-2,0,0,1,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,6,2019
Serge Ibaka,4,33.3,3,2,6,7,1,20,10,4,66.7,6,2,3,9,27:10:00,-1,1,3,2,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,28.5,2019
Fred VanVleet,1,20,5,1,4,2,1,42.9,14,0,33.3,3,6,2,14,25:24:00,-4,5,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,23.5,2019
Norman Powell,0,50,2,0,4,0,1,66.7,3,0,0,0,2,0,5,12:25,0,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,7,2019
CJ Miles,0,33.3,3,0,3,1,1,33.3,3,0,0,2,1,1,3,10:23,4,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,6,2019
Lorenzo Brown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0:44,-1,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,1,2019
Malachi Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:26,0,0,0,0,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,0,2019
Greg Monroe,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""""","Fitzgerald""""",Nansel,TORONTO,CLE,TOR,NA,2019
ETwaun Moore,4,33.3,3,2,5,3,1,66.7,12,2,100,4,8,1,21,33:44:00,30,2,0,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,26,2019
Nikola Mirotic,2,75,8,1,1,10,6,55,20,7,66.7,3,11,3,30,29:54:00,14,3,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,53.5,2019
Anthony Davis,6,0,0,1,5,16,0,61.9,21,2,85.7,7,13,14,32,39:08:00,23,8,3,3,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,71,2019
Elfrid Payton,0,0,2,1,3,10,0,38.5,13,1,0,2,5,9,10,36:52:00,23,10,0,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,37,2019
Jrue Holiday,0,0,6,3,3,3,0,41.7,12,0,0,0,5,3,10,38:16:00,26,8,0,2,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,28,2019
Julius Randle,5,50,4,0,4,8,2,60,15,2,83.3,6,9,6,25,23:49,5,3,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,36.5,2019
Darius Miller,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,19:56,-5,1,0,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,2.5,2019
Solomon Hill,0,100,1,0,2,2,1,33.3,3,0,0,0,1,2,3,12:02,-13,1,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,8.5,2019
