n,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Brad Wanamaker,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,NA
Guerschon Yabusele,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,NA
ETwaun Moore,3,66.7,3,1,3,1,2,58.3,12,0,100,3,7,1,19,30:41:00,-9,1,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,24.5
Nikola Mirotic,5,16.7,6,1,2,13,1,30,20,6,83.3,6,6,7,18,35:47:00,-18,3,2,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,40.5
Jahlil Okafor,0,0,0,1,4,5,0,50,6,4,0,0,3,1,6,14:04,1,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,10
Jrue Holiday,6,25,4,3,2,2,1,35.7,14,0,75,8,5,2,17,35:18:00,-13,10,0,3,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,36
Tim Frazier,1,25,4,2,4,2,1,42.9,7,0,50,2,3,2,8,30:12:00,-21,5,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,16.5
Frank Jackson,0,0,3,0,1,2,0,20,5,0,0,0,1,2,2,11:51,3,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,4
Julius Randle,11,0,2,3,5,6,0,56.3,16,1,91.7,12,9,5,29,25:57:00,-13,3,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,28.5
Ian Clark,2,40,5,0,2,2,2,50,6,0,100,2,3,2,10,23:21,-1,0,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,17
Cheick Diallo,3,0,0,0,1,8,0,20,5,3,75,4,1,5,5,19:54,4,1,1,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,14.5
Solomon Hill,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,9:33,-2,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,1
Kenrich Williams,0,100,1,0,0,1,1,100,2,0,0,0,2,1,5,3:22,4,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,8
Anthony Davis,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,NA
Wesley Johnson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,NA
Jake Layman,0,100,3,1,3,2,3,100,4,1,0,0,4,1,11,15:44,-1,0,2,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,24
AlFarouq Aminu,3,40,5,0,4,10,2,54.5,11,0,100,3,6,10,17,33:11:00,11,0,1,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,31
Jusuf Nurkic,5,100,1,2,4,9,1,77.8,9,4,83.3,6,7,5,20,28:04:00,13,2,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,27
CJ McCollum,4,0,3,4,3,2,0,25,8,0,66.7,6,2,2,8,29:47:00,12,4,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,11
Damian Lillard,8,57.1,7,4,3,7,4,43.8,16,2,100,8,7,5,26,30:59:00,12,6,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,41
Evan Turner,4,0,2,2,1,8,0,45.5,11,0,100,4,5,8,14,26:57:00,11,7,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,29.5
Zach Collins,1,50,4,0,4,1,2,37.5,8,1,50,2,3,0,9,17:17,4,1,1,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,17.5
Nik Stauskas,0,66.7,3,0,1,0,2,66.7,6,0,0,0,4,0,10,20:52,-1,3,0,1,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,21.5
Seth Curry,0,75,4,0,3,2,3,60,5,0,0,0,3,2,9,18:38,6,2,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,20
Caleb Swanigan,1,50,2,1,3,5,1,33.3,6,0,50,2,2,5,6,14:49,2,1,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,12.5
Wade Baldwin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:51,-2,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,0
Anfernee Simons,0,0,1,0,1,0,0,50,2,0,0,0,1,0,2,1:51,-2,0,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,2
Meyers Leonard,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""""","Lewis""""",Lane,PORTLAND,NOP,POR,NA
Tobias Harris,4,50,2,0,2,7,1,80,10,0,100,4,8,7,21,26:24:00,3,2,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,29
Danilo Gallinari,2,50,2,1,1,2,1,50,10,1,100,2,5,1,13,23:47,10,3,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,21.5
Boban Marjanovic,2,0,0,2,2,11,0,57.1,7,3,33.3,6,4,8,10,22:31,4,2,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,20
Avery Bradley,0,33.3,3,2,1,1,1,27.3,11,1,0,0,3,0,7,23:09,8,1,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,9.5
Patrick Beverley,0,66.7,3,1,4,2,2,28.6,7,2,0,0,2,0,6,23:13,3,2,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,17
Lou Williams,9,100,5,2,1,3,5,53.8,13,0,90,10,7,3,28,20:50,15,3,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,37.5
Mike Scott,0,25,4,0,1,5,1,25,4,0,0,0,1,5,3,22:47,16,4,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,19
Shai GilgeousAlexander,4,0,2,3,3,1,0,33.3,6,0,100,4,2,1,8,24:47:00,22,1,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,6.5
Montrezl Harrell,2,0,0,0,4,12,0,50,8,2,50,4,4,10,10,25:29:00,21,1,3,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,30.5
Milos Teodosic,1,50,2,1,3,4,1,66.7,3,1,50,2,2,3,6,16:46,21,3,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,14.5
Jerome Robinson,0,33.3,3,1,0,1,1,25,4,0,0,0,1,1,3,5:31,1,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,5
Tyrone Wallace,1,0,0,0,1,1,0,66.7,3,0,100,1,2,1,5,4:46,1,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,5
Marcin Gortat,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,NA
Jonathan Isaac,0,0,1,0,1,1,0,25,4,1,0,0,1,0,2,12:09,-2,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,3
Aaron Gordon,0,0,0,1,2,3,0,40,5,0,0,0,2,3,4,23:33,-9,0,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,9
Nikola Vucevic,1,33.3,3,1,1,11,1,47.6,21,2,50,2,10,9,22,32:14:00,-16,3,3,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,46.5
Evan Fournier,4,50,2,4,3,3,1,58.3,12,1,66.7,6,7,2,19,28:05:00,-6,4,0,3,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,31
DJ Augustin,2,100,1,0,0,5,1,50,10,2,100,2,5,3,13,27:00:00,-9,3,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,22.5
Wes Iwundu,1,0,0,2,4,4,0,40,5,0,33.3,3,2,4,5,31:13:00,-25,1,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,7.5
Jerian Grant,2,0,3,2,5,1,0,37.5,8,0,50,4,3,1,8,21:00,-16,4,0,2,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,17
Terrence Ross,0,25,4,0,4,2,1,30,10,0,0,0,3,2,7,19:53,-13,2,1,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,20
Mo Bamba,1,0,3,0,0,5,0,50,6,2,50,2,3,3,7,19:58,-20,3,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,15.5
Jarell Martin,0,0,0,0,2,1,0,60,5,0,0,0,3,1,6,8:22,-6,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,7
Khem Birch,0,0,0,0,0,4,0,100,1,0,0,0,1,4,2,5:31,-1,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,6
Melvin Frazier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5:31,-1,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,0
Isaiah Briscoe,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,5:31,-1,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""""","Ayotte""""",Sterling,LA,LAC,ORL,0
James Ennis,0,0,1,0,3,1,0,33.3,3,0,0,2,1,1,2,19:13,4,0,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,6
PJ Tucker,2,100,1,0,3,11,1,100,1,2,100,2,1,9,5,39:04:00,21,2,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,22
Clint Capela,6,0,0,0,1,13,0,72.7,11,4,60,10,8,9,22,37:23:00,15,5,2,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,42.5
Eric Gordon,7,25,8,4,1,1,2,42.9,14,0,100,7,6,1,21,34:36:00,7,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,19.5
Chris Paul,1,41.7,12,2,4,7,5,48.1,27,3,100,1,13,4,32,37:05:00,20,11,2,2,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,74.5
Carmelo Anthony,4,66.7,9,1,5,4,6,75,12,0,66.7,6,9,4,28,30:40:00,3,0,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,42
Gerald Green,2,20,5,0,1,3,1,37.5,8,2,100,2,3,1,9,16:43,-9,0,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,12
Marquese Chriss,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2:58,-8,0,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,0
Michael CarterWilliams,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,5:37,-7,1,0,1,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,4.5
Gary Clark,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,9:04,-7,0,1,1,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,5
Isaiah Hartenstein,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,7:39,1,0,2,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,6
Vincent Edwards,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,NA
Joe Harris,0,100,4,0,4,2,4,77.8,9,0,0,0,7,2,18,31:59:00,-9,4,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,34
Jared Dudley,0,50,2,2,1,3,1,50,2,1,0,0,1,2,3,23:03,-12,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,10.5
Jarrett Allen,2,0,2,1,2,8,0,50,8,1,50,4,4,7,10,26:52:00,-9,0,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,18
Caris LeVert,5,66.7,6,1,5,4,4,58.8,17,1,71.4,7,10,3,29,30:15:00,-18,2,1,3,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,50
DAngelo Russell,1,20,5,1,0,3,1,35.7,14,1,50,2,5,2,12,22:26,-12,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,19.5
Rondae HollisJefferson,1,0,1,1,3,5,0,40,5,1,33.3,3,2,4,5,19:06,-2,3,0,1,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,15.5
Allen Crabbe,0,25,4,0,2,6,1,28.6,7,0,0,0,2,6,5,25:35:00,9,2,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,19
Ed Davis,0,0,0,1,4,5,0,100,3,3,0,0,3,2,6,16:44,5,2,1,1,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,19
Spencer Dinwiddie,1,16.7,6,3,4,0,1,38.5,13,0,50,2,5,0,12,27:36:00,-1,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,14.5
Shabazz Napier,2,75,4,0,3,2,3,42.9,7,1,100,2,3,1,11,16:24,9,0,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,17
Kenneth Faried,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,NA
Rodions Kurucs,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,NA
Dzanan Musa,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""""","Maddox""""",Adair,HOUSTON,HOU,BKN,NA
Paul George,1,66.7,6,3,0,4,4,50,12,0,100,1,6,4,17,29:26:00,14,7,0,2,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,41.5
Jerami Grant,2,66.7,3,1,2,4,2,81.8,11,0,66.7,3,9,4,22,34:05:00,13,4,0,3,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,42
Steven Adams,3,0,0,1,4,3,0,85.7,7,1,75,4,6,2,15,23:15,12,1,1,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,18.5
Terrance Ferguson,0,60,5,2,4,1,3,60,5,0,0,0,3,1,9,17:26,-3,2,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,17
Russell Westbrook,3,0,1,1,1,3,0,62.5,16,0,75,4,10,3,23,26:00:00,10,12,0,4,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,52
Patrick Patterson,2,40,5,0,2,5,2,25,8,3,100,2,2,2,8,17:47,19,1,1,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,19.5
Dennis Schroder,2,66.7,3,4,1,6,2,54.5,11,1,100,2,6,5,16,27:28:00,14,5,0,2,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,33.5
Alex Abrines,0,28.6,7,0,3,1,2,37.5,8,0,0,0,3,1,8,24:28:00,27,2,2,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,22
Nerlens Noel,5,0,0,0,3,7,0,100,2,1,83.3,6,2,6,9,16:46,7,0,1,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,17
Hamidou Diallo,3,0,1,0,0,4,0,40,5,1,75,4,2,3,7,18:43,8,0,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,11
Timothe LuwawuCabarrot,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2:18,-3,0,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,0
Abdel Nader,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2:18,-3,0,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,-1
Raymond Felton,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,NA
Otto Porter,0,33.3,3,2,1,3,1,66.7,6,0,0,0,4,3,9,15:34,7,2,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,15
Markieff Morris,0,0,2,0,1,2,0,33.3,6,0,0,0,2,2,4,28:40:00,-9,4,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,15
Dwight Howard,6,0,0,1,4,3,0,87.5,8,2,75,8,7,1,20,23:10,-12,1,0,2,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,23.5
Bradley Beal,3,57.1,7,5,2,2,4,62.5,16,0,100,3,10,2,27,31:11:00,-16,4,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,38
John Wall,1,40,5,7,3,2,2,61.5,13,0,50,2,8,2,19,33:54:00,-16,9,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,33.5
Jeff Green,2,0,1,0,3,0,0,0,3,0,100,2,0,0,2,15:11,-16,0,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,0
Austin Rivers,0,0,1,0,0,5,0,0,3,0,0,0,0,5,0,21:17,-14,0,1,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,8
Ian Mahinmi,0,0,0,1,2,2,0,50,2,1,0,0,1,1,2,5:18,-12,0,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,3
Kelly Oubre,2,0,6,2,3,4,0,35.3,17,1,66.7,3,6,3,14,32:26:00,-30,0,2,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,20
Tomas Satoransky,0,0,1,0,2,2,0,25,4,1,0,0,1,1,2,14:06,-7,6,1,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,16
Jason Smith,0,50,2,0,0,2,1,50,4,0,0,0,2,2,5,9:39,5,1,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,10.5
Troy Brown,0,50,2,0,0,3,1,75,4,1,0,0,3,2,7,9:34,5,0,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,15
Thomas Bryant,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""""","Lindsay""""",Smith,OKLAHOMA,OKC,WAS,NA
Bojan Bogdanovic,0,66.7,3,1,0,2,2,42.9,7,0,0,0,3,2,8,27:49:00,6,1,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,14.5
Thaddeus Young,0,0,1,1,2,9,0,40,10,4,0,0,4,5,8,31:29:00,11,1,1,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,23.5
Myles Turner,4,0,3,4,4,3,0,70,10,1,100,4,7,2,18,27:18:00,6,3,6,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,35.5
Darren Collison,1,16.7,6,2,2,4,1,40,15,1,100,1,6,3,14,35:31:00,10,4,0,2,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,29
Victor Oladipo,6,16.7,6,0,1,14,1,47.4,19,2,100,6,9,12,25,35:34:00,5,5,1,2,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,51.5
Tyreke Evans,2,50,2,2,1,2,1,45.5,11,0,100,2,5,2,13,17:49,-11,2,0,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,19
Cory Joseph,0,0,0,0,0,4,0,66.7,3,0,0,1,2,4,4,22:31,-7,2,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,11
Domantas Sabonis,7,0,0,1,3,3,0,25,4,1,87.5,8,1,2,9,21:23,-4,1,1,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,11.5
