Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1QH,2QH,3QH,4QH,1QA,2QA,3QA,4QA,Total_H,Total_A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt,Last_Game_TOV,AverageTOV,Last_Game_REB,AverageREB,Last_Game_3PM,Average3PM,Last_Game_FGM,AverageFGM,Last_Game_PTS,AveragePTS,Last_Game_AST,AverageAST,Last_Game_STL,AverageSTL,Last_Game_BLK,AverageBLK
Kevon Looney,0,0,0,1,4,10,0,45.5,11,8,0,0,5,2,10,18:04,23,2,2,1,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,31,2019,4,F-C,9-Jun,220,,,,,,,,,,,,,,,,
Brook Lopez,4,40,5,2,3,3,2,57.1,7,0,100,4,4,3,14,21:27,8,1,0,1,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,20,2019,11,C,Jul-00,275,,,,,,,,,,,,,,,,
Robin Lopez,0,0,0,2,2,1,0,25,4,1,0,0,1,0,2,17:43,-3,3,1,1,10/18/2018,14,41,17,18,32,38,27,37,25,127,108,"Mauer""","Fraher""",Buchert,PHILADELPHIA,CHI,PHI,12,2019,11,C,Jul-00,255,,,,,,,,,,,,,,,,
Kevin Love,10,25,4,3,5,7,1,27.8,18,2,71,14,5,5,21,34:05:00,-3,2,0,0,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,20,2019,11,F,10-Jun,251,,,,,,,,,,,,,,,,
Kyle Lowry,2,83.3,6,3,1,1,5,83.3,12,0,67,3,10,1,27,35:35:00,12,8,1,1,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,51,2019,13,G,Jun-00,205,,,,,,,,,,,,,,,,
Trey Lyles,4,0,1,1,2,7,0,50,6,0,67,6,3,7,10,18:48,-10,0,0,1,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,15,2019,4,F,10-Jun,234,,,,,,,,,,,,,,,,
Shelvin Mack,1,0,1,1,3,3,0,12.5,8,1,50,2,1,2,3,29:55:00,-20,3,0,1,10/17/2018,5,16,23,19,25,27,29,20,35,111,83,"Brothers""","Taylor""",Van,INDIANA,MEM,IND,12,2019,8,G,3-Jun,203,,,,,,,,,,,,,,,,
Ian Mahinmi,1,0,0,1,4,1,0,50,2,1,50,2,1,0,3,11:38,3,0,2,1,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,11,2019,12,C,11-Jun,250,,,,,,,,,,,,,,,,
Boban Marjanovic,6,0,0,2,3,8,0,75,8,2,100,6,6,6,18,17:51,7,0,0,0,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,18,2019,4,C,3-Jul,290,,,,,,,,,,,,,,,,
Frank Mason,0,100,1,0,0,0,1,50,2,0,0,0,1,0,3,4:59,-12,0,0,0,10/17/2018,11,30,38,25,30,34,21,32,30,117,123,"Davis""","Orr""",Washington,UTAH,UTA,SAC,5,2019,2,G,Jun-00,189,,,,,,,,,,,,,,,,
