Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt
Aron Baynes,2,50,2,0,4,5,1,60,5,0,100,2,3,5,9,12:09,9,1,0,0,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,15.5,2019,7,C,10-Jun,260
Aron Baynes,2,20,5,0,1,3,1,20,5,0,50,4,1,3,5,15:33,-4,2,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,11,2019,7,C,10-Jun,260
Kent Bazemore,2,40,5,2,3,3,2,43.8,16,0,40,5,7,3,18,32:33:00,-15,1,2,2,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,34.5,2019,7,G-F,5-Jun,201
Kent Bazemore,1,0,4,5,5,7,0,37.5,8,1,100,1,3,6,7,28:02:00,-32,2,2,1,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,20,2019,7,G-F,5-Jun,201
Kent Bazemore,0,40,5,0,3,3,2,50,12,2,0,0,6,1,14,25:20:00,-14,3,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,31.5,2019,7,G-F,5-Jun,201
Bradley Beal,3,16.7,6,3,3,7,1,50,16,1,60,5,8,6,20,28:57:00,-19,0,1,0,28-Oct-18,85,20,34,23,27,28,41,28,39,136,104,"Malloy""","Cutler""",Orr,LA,WAS,LAC,26,2019,7,G,5-Jun,207
Bradley Beal,3,33.3,12,4,0,3,4,31.3,16,0,75,4,5,3,17,40:16:00,-1,7,3,2,30-Oct-18,101,24,21,27,23,22,24,32,29,107,95,"Collins""","Lewis""",Petraitis,MEMPHIS,WAS,MEM,46.5,2019,7,G,5-Jun,207
Bradley Beal,3,57.1,7,5,2,2,4,62.5,16,0,100,3,10,2,27,31:11:00,-16,4,0,1,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""","Lindsay""",Smith,OKLAHOMA,OKC,WAS,38,2019,7,G,5-Jun,207
Malik Beasley,0,33.3,6,1,1,6,2,55.6,9,0,0,0,5,6,12,31:27:00,10,2,0,0,29-Oct-18,94,24,21,31,35,20,38,26,32,116,111,"Mauer""","Mott""",Buchert,DENVER,NOP,DEN,24,2019,3,G,5-Jun,196
Malik Beasley,0,0,3,2,1,5,0,33.3,9,1,0,0,3,4,6,30:31:00,2,0,0,1,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,12,2019,3,G,5-Jun,196
Malik Beasley,0,25,4,1,2,0,1,25,8,0,0,0,2,0,5,23:59,9,4,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,12,2019,3,G,5-Jun,196
Marco Belinelli,1,33.3,6,0,3,3,2,41.7,12,0,100,1,5,3,13,23:16,21,1,0,2,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,26.5,2019,12,G-F,5-Jun,210
Marco Belinelli,3,16.7,6,3,1,4,1,35.7,14,1,75,4,5,3,14,23:18,12,2,0,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,17,2019,12,G-F,5-Jun,210
Jordan Bell,0,0,0,0,0,3,0,100,1,1,0,0,1,2,2,10:09,2,1,1,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,9.5,2019,2,F,9-Jun,224
Jordan Bell,1,0,0,1,4,2,0,50,2,0,33.3,3,1,2,3,17:32,-15,0,3,1,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,15,2019,2,F,9-Jun,224
Jordan Bell,2,0,0,1,2,5,0,0,3,2,100,2,0,3,2,10:53,-1,0,0,0,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,4,2019,2,F,9-Jun,224
Jordan Bell,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5:52,-3,0,1,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,4,2019,2,F,9-Jun,224
Davis Bertans,0,100,1,1,0,0,1,50,2,0,0,0,1,0,3,9:16,-7,0,0,0,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,4,2019,3,F,10-Jun,210
Davis Bertans,2,50,2,0,2,4,1,50,2,0,100,2,1,4,5,23:38,19,1,1,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,13.5,2019,3,F,10-Jun,210
Patrick Beverley,0,50,6,1,2,4,3,44.4,9,1,0,0,4,3,11,25:25:00,14,4,0,0,28-Oct-18,85,20,34,23,27,28,41,28,39,136,104,"Malloy""","Cutler""",Orr,LA,WAS,LAC,26,2019,7,G,1-Jun,185
Patrick Beverley,0,0,2,2,4,7,0,33.3,6,1,0,0,2,6,4,26:17:00,-10,6,1,0,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,21,2019,7,G,1-Jun,185
Patrick Beverley,2,0,4,2,6,4,0,14.3,7,2,50,4,1,2,4,30:23:00,0,4,0,2,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,16,2019,7,G,1-Jun,185
Patrick Beverley,0,66.7,3,1,4,2,2,28.6,7,2,0,0,2,0,6,23:13,3,2,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""","Ayotte""",Sterling,LA,LAC,ORL,17,2019,7,G,1-Jun,185
Nemanja Bjelica,2,42.9,7,1,5,5,3,46.7,15,3,50,4,7,2,19,32:31:00,11,5,2,1,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,43.5,2019,4,F,10-Jun,240
Nemanja Bjelica,2,60,5,2,1,8,3,61.5,13,1,50,4,8,7,21,30:26:00,5,1,1,2,30-Oct-18,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,41.5,2019,4,F,10-Jun,240
Nemanja Bjelica,2,60,5,3,5,2,3,63.6,11,0,100,2,7,2,19,23:58,18,3,0,2,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,32.5,2019,4,F,10-Jun,240
Antonio Blakeney,3,66.7,6,0,1,2,4,58.3,12,1,75,4,7,1,21,21:06,10,1,0,0,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,29.5,2019,2,G,4-Jun,197
Antonio Blakeney,1,100,4,1,0,3,4,55.6,9,0,33.3,3,5,3,15,13:40,-4,0,0,0,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,24,2019,2,G,4-Jun,197
Antonio Blakeney,1,60,5,1,0,3,3,69.2,13,0,100,1,9,3,22,25:32:00,6,0,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,29,2019,2,G,4-Jun,197
Eric Bledsoe,1,40,5,3,2,2,2,58.3,12,0,100,1,7,2,17,25:56:00,-1,8,1,0,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,34,2019,9,G,1-Jun,205
Eric Bledsoe,6,50,2,2,4,1,1,33.3,9,0,66.7,9,3,1,13,32:51:00,-12,7,0,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,21.5,2019,9,G,1-Jun,205
Bojan Bogdanovic,4,33.3,6,1,2,2,2,33.3,12,0,100,4,4,2,14,37:18:00,4,3,0,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,19.5,2019,5,G-F,8-Jun,216
Bojan Bogdanovic,1,33.3,3,2,1,3,1,50,8,0,50,2,4,3,10,31:59:00,7,0,0,1,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,15,2019,5,G-F,8-Jun,216
Bojan Bogdanovic,0,66.7,3,1,0,2,2,42.9,7,0,0,0,3,2,8,27:49:00,6,1,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,14.5,2019,5,G-F,8-Jun,216
Devin Booker,0,28.6,7,3,1,4,2,40,20,1,0,1,8,3,18,35:33:00,-6,6,1,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,38,2019,4,G,6-Jun,206
Avery Bradley,0,50,6,2,4,1,3,50,12,1,0,0,6,0,15,23:10,13,5,1,0,28-Oct-18,85,20,34,23,27,28,41,28,39,136,104,"Malloy""","Cutler""",Orr,LA,WAS,LAC,30.5,2019,9,G,2-Jun,180
Avery Bradley,0,25,4,2,5,3,1,40,10,0,0,0,4,3,9,30:09:00,-11,2,0,1,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,18,2019,9,G,2-Jun,180
Avery Bradley,0,0,1,2,1,2,0,16.7,6,1,0,0,1,1,2,36:20:00,4,1,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,6.5,2019,9,G,2-Jun,180
Avery Bradley,0,33.3,3,2,1,1,1,27.3,11,1,0,0,3,0,7,23:09,8,1,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""","Ayotte""",Sterling,LA,LAC,ORL,9.5,2019,9,G,2-Jun,180
Malcolm Brogdon,5,0,1,2,4,5,0,54.5,11,1,100,5,6,4,17,27:47:00,27,3,0,0,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,19.5,2019,3,G,5-Jun,215
Malcolm Brogdon,2,66.7,3,2,2,6,2,60,10,3,100,2,6,3,16,28:59:00,-2,2,1,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,28,2019,3,G,5-Jun,215
Dillon Brooks,2,50,2,1,5,2,1,40,5,1,100,2,2,1,7,25:10:00,-2,2,1,3,30-Oct-18,101,24,21,27,23,22,24,32,29,107,95,"Collins""","Lewis""",Petraitis,MEMPHIS,WAS,MEM,23,2019,2,F-G,6-Jun,220
Dillon Brooks,0,0,2,0,5,1,0,50,6,0,0,0,3,1,6,15:01,-2,1,1,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,14.5,2019,2,F-G,6-Jun,220
MarShon Brooks,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,5:20,4,0,0,0,30-Oct-18,101,24,21,27,23,22,24,32,29,107,95,"Collins""","Lewis""",Petraitis,MEMPHIS,WAS,MEM,-1,2019,8,G-F,5-Jun,200
MarShon Brooks,0,100,1,0,0,1,1,100,1,0,0,0,1,1,3,10:04,7,1,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,7.5,2019,8,G-F,5-Jun,200
Jaylen Brown,1,25,4,0,2,5,1,46.2,13,1,50,2,6,4,14,32:12:00,1,3,1,1,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,30.5,2019,3,F-G,7-Jun,225
Lorenzo Brown,0,20,5,1,3,4,1,22.2,9,1,0,0,2,3,5,19:07,-7,2,2,1,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,22,2019,6,G,5-Jun,189
Lorenzo Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3:34,3,1,0,0,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,1.5,2019,6,G,5-Jun,189
Sterling Brown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4:29,-10,0,0,0,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,1,2019,2,G,5-Jun,225
Trey Burke,0,100,1,0,0,0,1,50,4,0,0,0,2,0,5,14:01,0,0,0,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,7,2019,6,G,1-Jun,191
Trey Burke,2,0,0,0,1,0,0,40,5,0,100,2,2,0,6,0.583333333,4,2,0,0,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,7,2019,6,G,1-Jun,191
Trey Burke,0,0,1,0,0,1,0,33.3,3,0,0,0,1,1,2,6:50,-6,2,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,6,2019,6,G,1-Jun,191
Jimmy Butler,2,85.7,7,0,1,6,6,60,20,1,100,2,12,5,32,36:38:00,5,4,2,1,29-Oct-18,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,63,2019,8,F-G,8-Jun,236
Jimmy Butler,1,0,8,0,3,3,0,43.5,23,2,50,2,10,1,21,35:17:00,-19,5,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,30.5,2019,8,F-G,8-Jun,236
Isaiah Canaan,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,5:37,2,2,0,1,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,7,2019,6,G,Jun-00,201
Isaiah Canaan,1,50,4,1,3,1,2,66.7,12,0,100,1,8,1,19,32:04:00,1,2,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,25,2019,6,G,Jun-00,201
Clint Capela,2,0,0,4,2,14,0,54.5,11,7,28.6,7,6,7,14,30:24:00,-15,1,3,0,30-Oct-18,100,19,32,34,19,15,21,26,23,85,104,"Callahan""","Barnaky""",Sterling,PORTLAND,POR,HOU,32.5,2019,5,C,10-Jun,240
Clint Capela,6,0,0,0,1,13,0,72.7,11,4,60,10,8,9,22,37:23:00,15,5,2,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,42.5,2019,5,C,10-Jun,240
Vince Carter,0,0,3,1,1,4,0,28.6,7,1,0,0,2,3,4,20:17,-9,2,0,2,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,16,2019,21,G-F,6-Jun,220
Vince Carter,0,40,5,1,1,3,2,50,8,1,0,1,4,2,10,23:43,-4,2,0,0,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,19,2019,21,G-F,6-Jun,220
Vince Carter,0,33.3,3,1,1,2,1,33.3,3,0,0,0,1,2,3,16:18,-13,0,1,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,9,2019,21,G-F,6-Jun,220
Tyson Chandler,2,0,0,0,1,2,0,100,1,0,100,2,1,2,4,11:34,-17,2,1,0,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,10,2019,18,C,1-Jul,240
Tyson Chandler,0,0,0,2,3,4,0,100,1,1,0,3,1,3,2,8:59,-6,0,0,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,4,2019,18,C,1-Jul,240
Jordan Clarkson,0,20,5,1,0,2,1,46.7,15,1,0,0,7,1,15,27:15:00,4,1,0,1,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,22.5,2019,5,G,5-Jun,194
Jordan Clarkson,3,0,3,0,3,4,0,50,14,3,100,3,7,1,17,19:43,-13,0,1,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,21,2019,5,G,5-Jun,194
Zach Collins,2,50,2,1,2,3,1,70,10,0,100,2,7,3,17,26:56:00,22,3,1,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,26.5,2019,2,C-F,Jul-00,232
Zach Collins,1,0,1,3,5,4,0,42.9,7,1,100,1,3,3,7,23:53,-6,3,2,1,30-Oct-18,100,19,32,34,19,15,21,26,23,85,104,"Callahan""","Barnaky""",Sterling,PORTLAND,POR,HOU,20.5,2019,2,C-F,Jul-00,232
Zach Collins,1,50,4,0,4,1,2,37.5,8,1,50,2,3,0,9,17:17,4,1,1,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,17.5,2019,2,C-F,Jul-00,232
Darren Collison,1,0,1,0,1,2,0,57.1,14,1,50,2,8,1,17,36:05:00,9,6,0,2,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,33,2019,10,G,Jun-00,175
Darren Collison,0,0,0,1,1,3,0,57.1,7,0,0,0,4,3,8,23:48,3,6,0,1,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,22,2019,10,G,Jun-00,175
Darren Collison,1,16.7,6,2,2,4,1,40,15,1,100,1,6,3,14,35:31:00,10,4,0,2,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,29,2019,10,G,Jun-00,175
Mike Conley,5,25,8,2,2,3,2,33.3,18,0,71.4,7,6,3,19,35:12:00,20,7,1,1,30-Oct-18,101,24,21,27,23,22,24,32,29,107,95,"Collins""","Lewis""",Petraitis,MEMPHIS,WAS,MEM,35.5,2019,12,G,1-Jun,175
Mike Conley,11,50,6,0,2,5,3,38.9,18,2,84.6,13,7,3,28,32:55:00,-6,5,0,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,38.5,2019,12,G,1-Jun,175
Quinn Cook,3,25,4,1,1,2,1,50,12,0,100,3,6,2,16,16:53,-19,1,0,0,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,17.5,2019,3,G,2-Jun,184
Robert Covington,0,33.3,9,3,2,6,3,33.3,12,1,0,0,4,5,11,31:05:00,21,1,2,3,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,36.5,2019,6,F,9-Jun,215
Robert Covington,3,50,8,0,5,4,4,40,10,1,100,3,4,3,15,36:56:00,-17,1,2,4,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,43.5,2019,6,F,9-Jun,215
Robert Covington,0,100,2,1,4,7,2,80,5,0,0,0,4,7,10,33:25:00,6,2,3,4,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,44,2019,6,F,9-Jun,215
Robert Covington,0,33.3,9,3,2,6,3,33.3,12,1,0,0,4,5,11,31:05:00,21,1,2,3,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,36.5,2019,6,F,9-Jun,215
Robert Covington,3,50,8,0,5,4,4,40,10,1,100,3,4,3,15,36:56:00,-17,1,2,4,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,43.5,2019,6,F,9-Jun,215
Robert Covington,0,100,2,1,4,7,2,80,5,0,0,0,4,7,10,33:25:00,6,2,3,4,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,44,2019,6,F,9-Jun,215
Jae Crowder,0,20,5,0,5,6,1,53.8,13,0,0,0,7,6,15,34:30:00,4,1,0,1,28-Oct-18,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,27.5,2019,7,F,6-Jun,235
Jae Crowder,1,55.6,9,1,2,7,5,46.2,13,3,50,2,6,4,18,29:45:00,-14,0,0,1,31-Oct-18,106,25,31,40,29,32,33,36,27,128,125,"Goble""","Workman""",Petraitis,MINNESOTA,UTA,MIN,36,2019,7,F,6-Jun,235
Jae Crowder,2,57.1,7,0,2,6,4,60,10,1,50,4,6,5,18,32:10:00,-7,1,1,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,34.5,2019,7,F,6-Jun,235
Dante Cunningham,0,0,1,0,1,4,0,50,4,0,0,0,2,4,4,26:12:00,-11,1,0,1,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,12.5,2019,10,F,8-Jun,230
Dante Cunningham,0,0,1,1,0,3,0,50,4,1,0,0,2,2,4,26:13:00,3,3,0,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,10.5,2019,10,F,8-Jun,230
Stephen Curry,6,46.7,15,2,1,7,7,42.3,26,1,85.7,7,11,6,35,36:16:00,11,3,0,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,55.5,2019,10,G,3-Jun,190
Stephen Curry,7,50,4,1,3,8,2,77.8,9,0,100,7,7,8,23,24:50:00,27,5,0,2,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,40.5,2019,10,G,3-Jun,190
Stephen Curry,6,63.6,11,5,3,2,7,60,20,0,85.7,7,12,2,37,36:53:00,19,9,0,2,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,61.5,2019,10,G,3-Jun,190
Stephen Curry,2,33.3,12,4,3,9,4,45.8,24,1,100,2,11,8,28,35:28:00,6,7,2,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,55.5,2019,10,G,3-Jun,190
Troy Daniels,1,33.3,3,0,1,1,1,60,5,0,100,1,3,1,8,16:49,7,1,0,2,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,17.5,2019,6,G,4-Jun,205
Troy Daniels,0,16.7,6,2,4,2,1,14.3,7,0,0,0,1,2,3,12:00,-2,2,0,2,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,14,2019,6,G,4-Jun,205
Anthony Davis,4,25,4,2,3,12,1,37.5,16,3,80,5,6,9,17,41:17:00,-2,7,1,0,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,38.5,2019,7,F-C,10-Jun,253
Ed Davis,0,0,0,0,2,7,0,100,2,1,0,0,2,6,4,17:29,-14,1,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,12.5,2019,9,F,10-Jun,240
Ed Davis,2,0,0,0,3,6,0,50,4,4,50,4,2,2,6,12:23,-1,0,0,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,10,2019,9,F,10-Jun,240
Ed Davis,2,0,0,3,5,10,0,66.7,6,5,66.7,3,4,5,10,18:16,-8,0,0,0,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,15,2019,9,F,10-Jun,240
Ed Davis,0,0,0,1,4,5,0,100,3,3,0,0,3,2,6,16:44,5,2,1,1,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,19,2019,9,F,10-Jun,240
Sam Dekker,2,100,2,0,2,9,2,66.7,6,0,100,2,4,9,12,28:49:00,17,4,0,3,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,38,2019,4,F,9-Jun,230
Sam Dekker,0,0,2,2,3,4,0,30,10,3,0,0,3,1,6,34:30:00,-12,1,0,3,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,18.5,2019,4,F,9-Jun,230
DeMar DeRozan,10,0,1,2,4,6,0,57.1,21,1,100,10,12,5,34,42:53:00,-7,9,0,3,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,50.5,2019,10,G-F,7-Jun,221
DeMar DeRozan,5,0,0,1,1,4,0,83.3,12,0,100,5,10,4,25,27:51:00,24,3,1,1,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,33.5,2019,10,G-F,7-Jun,221
Cheick Diallo,2,0,0,2,3,5,0,75,4,2,100,2,3,3,8,13:39,4,2,1,1,29-Oct-18,94,24,21,31,35,20,38,26,32,116,111,"Mauer""","Mott""",Buchert,DENVER,NOP,DEN,18,2019,3,F,9-Jun,220
Cheick Diallo,3,0,0,0,1,8,0,20,5,3,75,4,1,5,5,19:54,4,1,1,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,14.5,2019,3,F,9-Jun,220
