Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt
Tim Frazier,0,100,1,0,2,3,1,100,2,0,0,0,2,3,5,19:58,-13,3,1,1,29-Oct-18,94,24,21,31,35,20,38,26,32,116,111,"Mauer""","Mott""",Buchert,DENVER,NOP,DEN,20.5,2019,5,G,1-Jun,170
Tim Frazier,0,66.7,3,2,3,1,2,60,5,0,0,0,3,1,8,20:46,-5,1,0,1,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,15.5,2019,5,G,1-Jun,170
Tim Frazier,1,25,4,2,4,2,1,42.9,7,0,50,2,3,2,8,30:12:00,-21,5,0,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,16.5,2019,5,G,1-Jun,170
Markelle Fultz,1,20,5,1,3,4,1,43.8,16,2,50,2,7,2,16,25:26:00,-2,7,0,0,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,30.5,2019,2,G,4-Jun,195
Markelle Fultz,2,0,2,1,3,4,0,30,10,0,66.7,3,3,4,8,18:49,-5,1,0,1,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,13.5,2019,2,G,4-Jun,195
Markelle Fultz,2,0,0,1,1,9,0,50,10,3,50,4,5,6,12,21:01,16,5,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,28.5,2019,2,G,4-Jun,195
Danilo Gallinari,2,33.3,3,2,0,7,1,28.6,14,2,100,2,4,5,11,26:03:00,14,2,1,2,28-Oct-18,85,20,34,23,27,28,41,28,39,136,104,"Malloy""","Cutler""",Orr,LA,WAS,LAC,28,2019,11,F,10-Jun,225
Danilo Gallinari,10,75,4,1,2,3,3,46.7,15,1,100,10,7,2,27,26:21:00,-16,0,0,2,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,31,2019,11,F,10-Jun,225
Danilo Gallinari,11,50,8,1,1,8,4,35.7,14,0,100,11,5,8,25,35:28:00,11,1,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,30.5,2019,11,F,10-Jun,225
Danilo Gallinari,2,50,2,1,1,2,1,50,10,1,100,2,5,1,13,23:47,10,3,0,1,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""","Ayotte""",Sterling,LA,LAC,ORL,21.5,2019,11,F,10-Jun,225
Langston Galloway,0,0,1,0,0,0,0,50,4,0,0,0,2,0,4,5:32,4,0,0,0,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,4,2019,5,G,2-Jun,200
